,1-2年以内其它应收款(元),1-2年以内应收帐款(元),1-2年以内预付货款(元),1年以内其它应收款(元),1年以内应收帐款(元),1年以内预付货款(元),2-3年以内其它应收款(元),2-3年以内应收帐款(元),2-3年以内预付货款(元),3年以内其它应收款(元),3年以内应收帐款(元),3年以内预付货款(元),date,id,name,三项费用比重,主营业务利润(元),主营业务利润率(%),主营业务成本率(%),主营业务收入增长率(%),主营利润比重,产权比率(%),净利润增长率(%),净资产增长率(%),净资产报酬率(%),净资产收益率(%),利息支付倍数,加权净资产收益率(%),加权每股收益(元),固定资产净值率(%),固定资产周转率(次),固定资产比重(%),存货周转天数(天),存货周转率(次),应收账款周转天数(天),应收账款周转率(次),总资产(元),总资产净利润率(%),总资产利润率(%),总资产周转天数(天),总资产周转率(次),总资产增长率(%),成本费用利润率(%),扣除非经常性损益后的净利润(元),扣除非经常性损益后的每股收益(元),投资收益率(%),摊薄每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股收益_调整后(元),每股未分配利润(元),每股经营性现金流(元),每股资本公积金(元),流动比率,流动资产周转天数(天),流动资产周转率(次),清算价值比率(%),现金比率(%),现金流量比率(%),短期债券投资(元),短期其它经营性投资(元),短期股票投资(元),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),经营现金净流量对销售收入比率(%),股东权益与固定资产比率(%),股东权益周转率(次),股东权益比率(%),股息发放率(%),股本报酬率(%),营业利润率(%),调整后的每股净资产(元),负债与所有者权益比率(%),资产报酬率(%),资产的经营现金流量回报率(%),资产负债率(%),资本化比率(%),资本固定化比率(%),速动比率,销售净利率(%),销售毛利率(%),长期债券投资(元),长期债务与营运资金比率(%),长期其它经营性投资(元),长期股票投资(元),长期负债比率(%),长期资产与长期资金比率(%),非主营比重
0,--,--,--,--,--,--,--,--,--,--,--,--,1996-12-31,600000,浦发银行,16.5855,662820000,15.7205,80.1913,--,67.0796,3149.3147,--,--,44.2018,39.82,--,--,--,74.1988,0.0648,0.306,--,--,20.7641,17.3376,65067170000,0.9669,0.9669,5555.5556,0.0648,--,23.2346,--,--,--,0.63,--,1.58,0.63,--,--,--,1.1642,49.4601,7.2786,--,0.3011,--,--,--,--,--,--,--,793.481,2.6687,2.4281,--,--,23.246,--,4018.4151,1.0733,--,97.5719,--,451.9144,1.1642,14.921,19.8087,--,--,--,1783665000,--,--,32.9204
1,--,--,--,--,--,--,--,--,--,--,--,--,1997-12-31,600000,浦发银行,17.6426,591428000,11.0998,82.8841,26.3744,59.7628,1868.9699,2.5255,100.7533,24.9472,20.34,--,--,--,68.1366,20.8192,0.3831,--,--,18.1983,19.7821,81640332000,0.8793,0.79,4958.6777,0.0726,25.4709,17.4325,--,--,--,0.32,--,1.58,--,--,--,--,1.2,4358.3535,0.0826,--,0.979,--,--,--,--,--,--,--,1014.1352,2.2427,3.885,0.5854,--,18.6771,--,2474.0098,0.9692,--,96.115,--,331.289,1.2,12.1052,17.1159,--,--,--,3209688000,--,--,40.2372
2,--,--,--,--,--,--,--,--,--,--,--,--,1998-12-31,600000,浦发银行,23.016,433138000,9.0362,84.7277,-10.0391,37.3165,1710.1006,33.2464,5.101,32.8306,25.78,--,--,--,62.2381,13.6949,0.4434,--,--,22.5881,15.9376,87338217000,1.0172,0.984,6349.2063,0.0567,6.9793,21.2449,--,--,12.7235,0.43,--,1.66,--,--,--,--,1.2209,5286.3436,0.0681,--,1.4506,-2.7246,--,--,--,-1.8072,-0.0185,-0.324,860.7661,1.4737,3.8168,0.8117,--,24.0367,--,2520.0108,1.2531,-0.0178,96.1832,--,532.1911,1.2209,17.9297,12.8176,--,--,--,7197863000,--,--,62.6835
3,--,--,--,--,--,--,--,--,--,--,--,--,1999-12-31,600000,浦发银行,29.489,116232074.21,2.9189,90.1233,-16.926,9.8752,825.0437,7.8253,133.2695,16.6469,11.92,--,--,--,85.8168,3.0484,2.1561,--,--,30.5722,11.7754,103209678011.88,0.9727,0.8979,8612.4402,0.0418,18.1724,23.3531,--,--,9.9695,0.3845,3.2266,3.227,0.439,0.0156,0.1894,1.6141,1.2079,6654.3438,0.0541,--,4.4033,0.7113,--,--,--,0.4924,0.0048,0.1146,349.4425,0.7169,7.5342,0.5761,53.7124,29.1973,3.067,1227.2759,1.2542,0.0044,92.4658,--,330.6952,1.2079,23.2717,23.147,--,--,--,11434871967.01,--,--,90.1248
4,--,--,--,--,--,--,--,--,--,--,--,--,1999-9-30,600000,浦发银行,22.8669,265846000,13.5052,79.7807,--,41.7653,1329.6187,--,--,20.6323,13.18,--,--,--,55.8407,5.255,0.415,--,--,31.0618,5.7949,87203199000,0.5798,0.5802,7964.6018,0.0226,--,29.5679,--,--,4.2795,0.25,--,1.91,--,--,--,--,1.3231,6271.777,0.0287,170.6285,3.7067,--,--,--,--,--,--,--,1060.8957,0.5489,4.4029,1.0628,--,32.3794,--,2171.226,0.9084,--,95.5971,0,511.9746,1.3231,25.7038,20.2193,0,0,0,8046750000,0,511.9746,58.2347
5,--,--,--,--,--,--,--,--,--,--,--,--,2000-12-31,600000,浦发银行,23.3432,1229463370.53,21.5302,72.8307,43.4039,99.8568,1096.57,3.3682,-4.2603,20.1706,12.87,--,13.75,--,83.2306,2.3194,2.0645,--,--,--,--,130722431719.44,0.819,0.7328,7377.0492,0.0488,26.6571,21.1771,--,0.397,15.119,0.3975,3.0891,3.089,0.397,0.206,2.4862,1.6141,1.1933,5513.0168,0.0653,--,2.2712,7.3393,--,--,--,6.2549,0.0486,1.0492,275.8582,0.7503,5.6951,0.0006,62.3093,21.5302,2.878,1655.8963,1.1487,0.0458,94.3049,--,447.3089,1.1933,16.7747,22.9646,14614306463.09,--,--,557333599.7,--,--,92.432
6,--,--,--,--,--,--,--,--,--,--,--,--,2000-9-30,600000,浦发银行,27.8659,128452037.01,5.9436,87.2246,9.7906,17.8764,838.0687,4.8018,116.3399,11.6504,6.38,--,--,--,83.7119,0.9662,1.9826,--,--,34.2851,5.2501,113398097797.36,0.4896,0.4676,9000,0.02,30.0389,27.27,--,--,--,0.22,3.4466,3.45,--,0.2356,-0.6195,1.6141,1.1719,6617.6471,0.0272,--,1.7913,-2.1447,--,--,--,-2.8156,-0.0143,-0.6908,369.4539,0.2688,7.3249,0.8915,40.1543,33.2566,3.23,1261.0494,0.8534,-0.0132,92.3709,--,383.0403,1.1719,24.5358,30.9013,14716072663.35,--,--,--,--,--,78.6668
7,--,--,--,--,--,--,--,--,--,--,--,--,2001-12-31,600000,浦发银行,23.0549,1447093000,20.1398,75.0135,25.8272,100.4429,1526.4611,10.8542,-5.0788,26.0793,15.03,--,15.13,--,79.5551,2.5044,1.7498,--,--,--,--,173690683000,0.6977,0.6114,7627.1186,0.0472,32.8698,19.483,--,0.443,32.3311,0.4406,2.9322,2.932,0.441,0.0122,4.2656,1.6141,1.1852,5642.6332,0.0638,--,4.9061,9.5301,--,--,--,9.6811,0.0617,1.4307,232.5147,0.9903,4.0685,0.4544,76.4703,20.1398,2.739,2357.8869,1.061,0.0592,95.9315,--,648.6712,1.1852,14.7786,50.8693,22705649000,--,--,553097000,--,--,75.3832
8,--,--,--,--,--,--,--,--,--,--,--,--,2001-6-30,600000,浦发银行,21.1185,700258719.21,21.6494,73.8709,49.6648,99.8545,1197.7186,0.8759,-4.5132,15.0313,6.74,--,6.98,--,80.9072,1.1796,1.849,--,--,--,--,150638691732.07,0.3802,0.3551,7826.087,0.023,32.8406,21.7966,--,0.222,16.3513,0.222,3.2911,3.291,0.222,0.412,-1.8078,1.6141,1.192,5863.1922,0.0307,--,3.9084,-4.5864,--,--,--,-8.1451,-0.0305,-1.347,284.76,0.4207,5.2652,0.0011,49.4689,21.6494,3.113,1799.2605,0.7914,-0.0289,94.7348,--,471.5688,1.192,16.5374,49.3975,15153403712.86,--,--,552721059.29,--,--,62.9884
9,--,--,--,--,--,--,--,--,--,--,--,--,2001-9-30,600000,浦发银行,21.4921,1111657954.64,21.8027,73.5477,--,100.2917,1200.7931,--,--,18.7307,10,--,--,--,80.0253,1.8298,1.7662,--,--,--,--,162731747948.12,0.5602,0.5051,7780.9798,0.0347,--,21.807,--,--,22.6293,0.3411,3.4102,3.4,--,0.5311,--,1.6141,1.1977,5708.2452,0.0473,--,5.0193,--,--,--,--,--,--,--,285.9463,0.651,5.0504,0.0007,63.8756,21.8027,--,1880.0474,0.946,--,94.9496,--,541.8573,1.1977,16.1216,48.8335,20048076576.6,--,--,552721059.29,--,--,64.8333
