,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,601336,新华保险,68.30,4.47,7.00%,8.27,186449,1242230160,63.83,63.50,68.68,63.40,-,-,-,-,-,-,-,-,0.37%,2.93,0.89,31.69
1,1,601601,中国太保,43.47,2.00,4.82%,5.74,245997,1052843536,41.47,41.40,43.68,41.30,-,-,-,-,-,-,-,-,-0.14%,1.90,0.39,27.04
2,1,600029,南方航空,11.25,0.41,3.78%,5.81,563487,627771920,10.84,10.72,11.33,10.70,-,-,-,-,-,-,-,-,0.09%,1.10,0.80,12.07
3,1,601318,中国平安,73.29,2.62,3.71%,3.92,870587,6305092864,70.67,70.91,73.48,70.71,-,-,-,-,-,-,-,-,0.03%,1.87,0.80,15.15
4,1,601628,中国人寿,31.57,0.97,3.17%,3.50,152205,475944464,30.60,30.59,31.66,30.59,-,-,-,-,-,-,-,-,0.06%,1.72,0.07,24.95
5,1,600036,招商银行,29.05,0.72,2.54%,2.54,431425,1242564480,28.33,28.47,29.06,28.34,-,-,-,-,-,-,-,-,0.17%,1.39,0.21,9.34
6,1,600048,保利地产,12.31,0.18,1.48%,2.39,398435,486107664,12.13,12.18,12.35,12.06,-,-,-,-,-,-,-,-,-0.08%,0.67,0.34,13.24
7,1,600016,民生银行,8.56,0.10,1.18%,1.65,419421,357327552,8.46,8.46,8.58,8.44,-,-,-,-,-,-,-,-,0.00%,0.98,0.14,5.82
8,1,601398,工商银行,5.99,0.07,1.18%,1.86,1381502,822592944,5.92,5.90,6.00,5.89,-,-,-,-,-,-,-,-,0.00%,1.53,0.05,7.02
9,1,601766,中国中车,11.36,0.13,1.16%,1.87,609067,687642576,11.23,11.21,11.38,11.17,-,-,-,-,-,-,-,-,0.18%,0.98,0.27,35.91
10,1,601878,浙商证券,16.22,0.16,1.00%,1.43,85880,138940437,16.06,16.06,16.29,16.06,-,-,-,-,-,-,-,-,0.00%,1.23,2.58,49.95
