,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,601766,中国中车,11.24,0.15,1.35%,2.71,1042301,1170265984,11.09,11.14,11.34,11.04,-,-,-,-,-,-,-,-,0.00%,0.82,0.45,35.53
1,1,603993,洛阳钼业,6.83,0.07,1.04%,2.22,1078078,736272256,6.76,6.78,6.91,6.76,-,-,-,-,-,-,-,-,-0.15%,0.82,0.83,68.96
2,1,600547,山东黄金,30.24,0.27,0.90%,1.77,187168,570126928,29.97,30.30,30.74,30.21,-,-,-,-,-,-,-,-,-0.03%,1.50,1.29,47.08
3,1,600048,保利地产,12.67,0.08,0.64%,4.13,1011920,1287149744,12.59,12.56,12.98,12.46,-,-,-,-,-,-,-,-,0.24%,0.87,0.86,13.63
4,1,600887,伊利股份,31.90,0.20,0.63%,2.08,543952,1719132048,31.70,31.80,31.94,31.28,-,-,-,-,-,-,-,-,0.38%,0.98,0.90,29.46
5,1,600029,南方航空,11.21,0.02,0.18%,4.02,804763,902225072,11.19,11.18,11.42,10.97,-,-,-,-,-,-,-,-,0.18%,0.98,1.15,12.03
6,1,600036,招商银行,28.63,0.03,0.10%,1.92,529392,1520833392,28.60,28.53,29.00,28.45,-,-,-,-,-,-,-,-,0.03%,0.87,0.26,9.21
7,1,601288,农业银行,3.71,0.00,0.00%,1.62,1733037,644235328,3.71,3.72,3.75,3.69,-,-,-,-,-,-,-,-,0.27%,0.96,0.06,5.65
8,1,600019,宝钢股份,8.47,0.00,0.00%,1.53,403665,341296432,8.47,8.51,8.52,8.39,-,-,-,-,-,-,-,-,0.12%,0.49,0.18,12.03
9,1,601398,工商银行,5.89,-0.01,-0.17%,1.53,1469378,870053888,5.90,5.90,5.97,5.88,-,-,-,-,-,-,-,-,-0.17%,0.94,0.05,6.91
10,1,601006,大秦铁路,8.86,-0.02,-0.23%,0.90,205235,181672131,8.88,8.89,8.90,8.82,-,-,-,-,-,-,-,-,0.11%,0.64,0.14,8.79
11,1,601988,中国银行,3.89,-0.01,-0.26%,1.28,936441,365450560,3.90,3.91,3.93,3.88,-,-,-,-,-,-,-,-,0.00%,0.91,0.04,5.90
12,1,601878,浙商证券,16.03,-0.06,-0.37%,2.30,120062,191499002,16.09,16.10,16.17,15.80,-,-,-,-,-,-,-,-,0.12%,0.84,3.60,49.37
13,1,600000,浦发银行,12.69,-0.05,-0.39%,1.02,161417,205219487,12.74,12.79,12.79,12.66,-,-,-,-,-,-,-,-,0.00%,0.53,0.06,6.67
14,1,601985,中国核电,7.40,-0.03,-0.40%,0.54,131767,97733862,7.43,7.44,7.44,7.40,-,-,-,-,-,-,-,-,-0.13%,0.60,0.31,21.05
15,1,601229,上海银行,14.75,-0.06,-0.41%,1.01,95700,141236312,14.81,14.81,14.86,14.71,-,-,-,-,-,-,-,-,0.07%,0.60,0.26,7.41
16,1,601169,北京银行,7.26,-0.03,-0.41%,1.23,368121,267731481,7.29,7.31,7.32,7.23,-,-,-,-,-,-,-,-,0.14%,1.17,0.20,6.40
17,1,600050,中国联通,6.96,-0.03,-0.43%,1.43,1161517,807456160,6.99,7.00,7.02,6.92,-,-,-,-,-,-,-,-,0.14%,0.75,0.55,120.30
18,1,601088,中国神华,22.08,-0.10,-0.45%,2.07,137107,304069600,22.18,22.16,22.43,21.97,-,-,-,-,-,-,-,-,0.14%,0.61,0.08,9.24
19,1,601166,兴业银行,17.20,-0.08,-0.46%,1.33,438887,756158736,17.28,17.30,17.38,17.15,-,-,-,-,-,-,-,-,0.00%,0.70,0.23,5.68
20,1,601328,交通银行,6.28,-0.03,-0.48%,1.43,510754,321758992,6.31,6.31,6.35,6.26,-,-,-,-,-,-,-,-,0.00%,0.81,0.13,6.43
21,1,601668,中国建筑,9.36,-0.05,-0.53%,0.96,728853,682370848,9.41,9.41,9.42,9.33,-,-,-,-,-,-,-,-,0.11%,0.65,0.25,8.17
22,1,600519,贵州茅台,664.55,-3.66,-0.55%,1.62,31968,2126665888,668.21,669.98,671.30,660.50,-,-,-,-,-,-,-,-,-0.02%,0.60,0.25,31.33
23,1,601989,中国重工,6.04,-0.04,-0.66%,1.15,662716,399980704,6.08,6.08,6.08,6.01,-,-,-,-,-,-,-,-,0.17%,0.74,0.36,78.20
24,1,600606,绿地控股,7.21,-0.05,-0.69%,1.38,259683,188093086,7.26,7.26,7.30,7.20,-,-,-,-,-,-,-,-,0.00%,0.56,0.81,10.03
25,1,601818,光大银行,4.12,-0.03,-0.72%,1.20,595694,246007783,4.15,4.15,4.16,4.11,-,-,-,-,-,-,-,-,0.00%,0.64,0.15,5.67
26,1,601390,中国中铁,8.56,-0.07,-0.81%,1.51,226606,194461465,8.63,8.66,8.68,8.55,-,-,-,-,-,-,-,-,-0.12%,0.76,0.12,13.29
27,1,601186,中国铁建,11.53,-0.10,-0.86%,1.29,203897,235662915,11.63,11.66,11.66,11.51,-,-,-,-,-,-,-,-,0.09%,1.03,0.18,11.15
28,1,600919,江苏银行,7.83,-0.07,-0.89%,1.27,240786,189017847,7.90,7.88,7.91,7.81,-,-,-,-,-,-,-,-,0.13%,0.41,0.41,7.38
